date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2021-09-22,2021,Ryan505,535566,Derek Carr,QB,4,1,
2021-09-17,2021,JGERK,573189,Phillip Lindsay,RB,3,2,3
2021-09-17,2021,madmax101010,1029198,Michael Pittman,WR,10,1,
2021-09-17,2021,Joles,1173483,Tampa Bay Buccaneers,D/ST,1,1,
2021-09-15,2021,SimonMiller,1029559,Elijah Mitchell,RB,80,5,37
2021-09-15,2021,Ryan505,535566,Rob Gronkowski,TE,55,5,10
2021-09-15,2021,SimonMiller,1029559,Mark Ingram,RB,11,2,3
2021-09-15,2021,ajg21,573289,Christian Kirk,WR,5,1,
2021-09-15,2021,Ryan505,535566,Pittsburgh Steelers,D/ST,4,2,1
2021-09-15,2021,JGERK,573189,Arizona Cardinals,D/ST,3,1,
